epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.63621,1.11785,1.17251,0.00893,0.83205,0.69866,0.85135,0.57463,1.08335,0.9654,0.0106,0.00025722,0.00025722,0.00025722
2,17.3707,1.116,1.13224,0.00848,0.79913,0.79984,0.87563,0.59885,1.09107,0.83264,0.01063,0.000507792,0.000507792,0.000507792
3,25.3099,1.13128,1.16913,0.00878,0.84188,0.72918,0.86369,0.58428,1.06457,0.91458,0.01024,0.000736861,0.000736861,0.000736861
4,33.0979,1.13381,1.18498,0.00909,0.75111,0.78416,0.84163,0.57084,1.11285,0.92922,0.0108,0.000944426,0.000944426,0.000944426
5,40.8702,1.13576,1.13361,0.00923,0.77194,0.76197,0.8446,0.55575,1.11563,0.91844,0.01099,0.00113049,0.00113049,0.00113049
6,48.5912,1.1404,1.11374,0.00918,0.74659,0.83669,0.84235,0.53671,1.1355,0.86558,0.01111,0.00114606,0.00114606,0.00114606
7,56.3116,1.13977,1.07587,0.00874,0.74015,0.81158,0.85852,0.57342,1.13169,0.86542,0.01103,0.00108947,0.00108947,0.00108947
8,64.0891,1.10747,1.04098,0.00863,0.69787,0.76077,0.82924,0.54673,1.03675,0.9515,0.01004,0.00103288,0.00103288,0.00103288
9,71.747,1.12839,1.02251,0.00874,0.68188,0.84631,0.84537,0.54574,1.0837,0.86987,0.01056,0.000976293,0.000976293,0.000976293
10,79.52,1.13248,1.02923,0.00907,0.7264,0.80272,0.86369,0.57654,1.06337,0.91275,0.01018,0.000919704,0.000919704,0.000919704
11,87.1711,1.16796,1.00981,0.00925,0.80437,0.81269,0.87737,0.58945,1.14392,0.80971,0.01114,0.000863116,0.000863116,0.000863116
12,95.2071,1.16758,0.97919,0.00885,0.83457,0.78236,0.87249,0.59104,1.03413,0.82668,0.00986,0.000806528,0.000806528,0.000806528
13,103.695,1.09661,0.96182,0.00893,0.86517,0.75461,0.87953,0.58832,1.05832,0.7713,0.01017,0.000749939,0.000749939,0.000749939
14,111.828,1.08374,0.94355,0.00831,0.84629,0.77251,0.87775,0.59524,1.06586,0.77048,0.0103,0.000693351,0.000693351,0.000693351
15,120.03,1.07882,0.91341,0.00822,0.88762,0.73348,0.88154,0.59635,1.042,0.73398,0.00992,0.000636762,0.000636762,0.000636762
16,127.696,1.11636,0.98725,0.01038,0.80896,0.82697,0.87202,0.57579,1.14378,0.81737,0.01123,0.000580174,0.000580174,0.000580174
17,135.365,1.09795,0.95144,0.01013,0.79304,0.84895,0.89392,0.59682,1.19807,0.75618,0.01144,0.000523586,0.000523586,0.000523586
18,142.92,1.07474,0.90045,0.00995,0.83172,0.80452,0.89096,0.60941,1.06241,0.72895,0.01028,0.000466997,0.000466997,0.000466997
19,150.393,1.04075,0.87189,0.00993,0.80516,0.83287,0.90496,0.61834,1.06669,0.74343,0.01021,0.000410409,0.000410409,0.000410409
20,157.891,1.03831,0.87111,0.00974,0.88716,0.76905,0.90228,0.61138,1.06419,0.70105,0.01031,0.00035382,0.00035382,0.00035382
21,165.489,1.02212,0.81389,0.00948,0.84805,0.78629,0.89742,0.62109,1.06262,0.7051,0.0102,0.000297232,0.000297232,0.000297232
22,172.946,1.05163,0.85961,0.0095,0.86949,0.78585,0.89835,0.61863,1.05703,0.67945,0.01008,0.000240644,0.000240644,0.000240644
23,180.53,1.02556,0.81642,0.00931,0.7826,0.8581,0.8979,0.6293,1.05277,0.6831,0.01009,0.000184055,0.000184055,0.000184055
24,188.048,1.02091,0.80151,0.00921,0.85129,0.83346,0.90375,0.62975,1.04362,0.67747,0.01002,0.000127467,0.000127467,0.000127467
25,195.578,1.00398,0.78948,0.00904,0.84482,0.83483,0.90367,0.62429,1.04239,0.65467,0.01,7.08784e-05,7.08784e-05,7.08784e-05
